id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
993579507834210182,Rental unit in Columbus · 2 bedrooms · 2 beds · 2 baths,146160027,Quinton,,Near North/University,39.97521131412973,-83.00289025120564,Entire home/apt,350,30,1,2023-11-22,0.86,1,360,1,
993655809757900814,Home in Columbus · ★5.0 · 1 bedroom · 1 bed · 3 baths,237652455,Songzhe Sunny,,Near North/University,40.01664012948628,-83.00989644128504,Private room,49,2,3,2023-11-12,1.18,8,62,3,2023-4194
993663509067671497,Home in Columbus · 1 bedroom · 1 bed · 3 baths,237652455,Songzhe Sunny,,Near North/University,40.016803850233494,-83.00975392151666,Private room,49,2,1,2023-10-18,0.43,8,62,1,2023-4194
993674026593263996,Home in Columbus · 1 bedroom · 1 bed · 3 baths,237652455,Songzhe Sunny,,Near North/University,40.01719632642655,-83.00969837446661,Private room,49,2,1,2023-12-01,1,8,62,1,2023-4194
993680714376727842,Home in Columbus · 1 bedroom · 1 bed · 3 baths,237652455,Songzhe Sunny,,Near North/University,40.01678961861379,-83.01138995471399,Private room,49,2,1,2023-11-17,0.77,8,62,1,2023-4194
993718343595441938,Home in Columbus · 2 bedrooms · 2 beds · 1 bath,10194951,Anh,,Near North/University,39.99117939270467,-83.0182778475226,Entire home/apt,80,30,0,,,1,164,0,2023-4526
994396974744536316,Rental unit in Columbus · ★4.91 · 2 bedrooms · 3 beds · 2 baths,490063470,Unified,,Near North/University,40.01219,-83.01032,Entire home/apt,115,1,11,2023-11-23,4.34,5,256,11,2023-2094
994933097197827770,Rental unit in Columbus · ★5.0 · 1 bedroom · 1 bed · 1 bath,502432635,Stacy,,Near North/University,39.97967218699414,-83.0013288083922,Entire home/apt,120,1,6,2023-12-17,4.74,1,193,6,2023-4806
994986930531393975,Condo in Worthington · 2 bedrooms · 2 beds · 1 bath,76614204,Jennifer,,Far North,40.12010743872987,-82.99796415375766,Entire home/apt,79,30,0,,,2,219,0,
995003566045812436,Hotel in Columbus · 2 bedrooms · 2 beds · 1 bath,495439249,RoomPicks,,Downtown,39.960462074897784,-83.00272762224549,Private room,139,2,1,2023-10-31,0.53,18,332,1,Exempt
995003766077546640,Hotel in Columbus · 2 bedrooms · 2 beds · 1 bath,495439249,RoomPicks,,Downtown,39.961363441637175,-83.00228218206514,Private room,130,2,0,,,18,320,0,Exempt
995004375823238007,Hotel in Columbus · 1 bedroom · 1 bed · 1 bath,495439249,RoomPicks,,Downtown,39.96153826909187,-83.00093493444263,Private room,134,2,0,,,18,342,0,Exempt
995095836786604471,Home in Columbus · 5 bedrooms · 7 beds · 5 baths,170278874,The CG,,Eastmoor/Walnut Ridge,39.94409,-82.87044,Entire home/apt,771,2,2,2023-11-26,1.62,1,269,2,2023-2112
995459862733845360,Home in Columbus · ★New · 2 bedrooms · 2 beds · 1 bath,32854665,Brian,,Near North/University,39.982371405681725,-82.99888661298948,Entire home/apt,143,1,1,2023-12-23,1,2,262,1,2023-5245
995789610440768328,Home in Columbus · 4 bedrooms · 5 beds · 3 baths,26958698,Benjamin,,Near South,39.95013557869499,-82.97246870763843,Entire home/apt,156,1,1,2023-11-26,1,18,364,1,2023-4469
995789945381668954,Rental unit in Columbus · ★5.0 · 3 bedrooms · 4 beds · 2 baths,345450411,Evan,,Clintonville,40.0406762534702,-83.017589857185,Entire home/apt,171,2,11,2023-12-18,5.50,13,123,11,2022-2764
